server,server_name_slug,network_name,country_code,as
irc.chatbg.info,BGirc_com-irc_chatbg_info-DE-AS16276,BGirc.com,DE,AS16276 OVH SAS
lista.globalirc.it,GlobalIRC_it-lista_globalirc_it-FR-AS12876,GlobalIRC.it,FR,AS12876 SCALEWAY S.A.S.
london.globalirc.it,GlobalIRC_it-london_globalirc_it-FR-AS12876,GlobalIRC.it,FR,AS12876 SCALEWAY S.A.S.
beton.bolchat.com,BOLChat-beton_bolchat_com-US-AS15133,BOLChat,US,AS15133 Edgecast Inc.
leptir.bolchat.com,BOLChat-leptir_bolchat_com-US-AS15133,BOLChat,US,AS15133 Edgecast Inc.
#neuron.axon.pw,Axon-neuron_axon_pw-CA-AS16276,Axon,CA,AS16276 OVH SAS
aesir.sorcery.net,SorceryNet-aesir_sorcery_net-US-AS26347,SorceryNet,US,AS26347 New Dream Network, LLC
themis.sorcery.net,SorceryNet-themis_sorcery_net-DE-AS24940,SorceryNet,DE,AS24940 Hetzner Online GmbH
gaia.sorcery.net,SorceryNet-gaia_sorcery_net-GB-AS16276,SorceryNet,GB,AS16276 OVH SAS
irc.kalbim.net,Kalbim_Net-irc_kalbim_net-TR-AS51559,Kalbim.Net,TR,AS51559 Netinternet Bilisim Teknolojileri AS
ptservidor.ptnet.org,PTnet-ptservidor_ptnet_org-PT-AS62416,PTnet,PT,AS62416 SAMPLING LINE-SERVICOS E INTERNET, LDA
sonaquela.ptnet.org,PTnet-sonaquela_ptnet_org-NL-AS14061,PTnet,NL,AS14061 DigitalOcean, LLC
flux.technet.chat,TechNet-flux_technet_chat-US-AS64245,TechNet,US,AS64245 DigitalFyre Internet Solutions, LLC.
driven.technet.chat,TechNet-driven_technet_chat-US-AS16276,TechNet,US,AS16276 OVH SAS
#core.technet.chat,TechNet-core_technet_chat-GB-AS64245,TechNet,GB,AS64245 DigitalFyre Internet Solutions, LLC.
ninja.technet.chat,TechNet-ninja_technet_chat-GB-AS16276,TechNet,GB,AS16276 OVH SAS
fl.technet.chat,TechNet-fl_technet_chat-US-AS23470,TechNet,US,AS23470 ReliableSite.Net LLC
irc3.ptirc.org,PTirc-irc3_ptirc_org-DE-AS24940,PTirc,DE,AS24940 Hetzner Online GmbH
irc1.ptirc.org,PTirc-irc1_ptirc_org-BG-AS44901,PTirc,BG,AS44901 Belcloud LTD
#ford.tamarou.com,MagNET-ford_tamarou_com-US-AS63949,MagNET,US,AS63949 Akamai Connected Cloud
quebec.allnightcafe.com,AllNightCafe-quebec_allnightcafe_com-JP-AS16276,AllNightCafe,JP,AS16276 OVH SAS
roubaix.fr.epiknet.org,EpiKnet-roubaix_fr_epiknet_org-FR-AS16276,EpiKnet,FR,AS16276 OVH SAS
beraunet.us.allnetwork.org,AllNetwork-beraunet_us_allnetwork_org-US-AS142036,AllNetwork,US,AS142036 Hosteons Pte. Ltd.
#irc.brazink.net,Brazink-irc_brazink_net-CA-AS16276,Brazink,CA,AS16276 OVH SAS
skynet.eu.irc-nerds.net,IRC-Nerds-skynet_eu_irc-nerds_net-NL-AS60117,IRC-Nerds,NL,AS60117 Host Sailor Ltd
cs1.coders-irc.net,Coders-IRC-cs1_coders-irc_net-US-AS63949,Coders-IRC,US,AS63949 Akamai Connected Cloud
